id,status,grain_yield,test_weight,plant_height,maturity_time,heading_time,grain_moisture,lodging,FHB_DON,FHB_grain_INC,FHB_heading_time,Z_DON,Z_INC,ISK_Custom,Acceptability,Net_Merit,Net_Merit2
IL25-S539,Target,-0.041130297,6.483726712,-3.649051018,1.234032234,3.05134959,0.557650503,-0.228530473,1.398010345,-3.71712656,0.997063589,0.924779115,-1.225721169,-0.150471027,1.754248451,29.81396137,36.83095518
IL25-S54,Target,0.159394543,-7.435409114,2.954146908,1.739618182,1.653763634,0.138771121,-0.313617878,0.048485727,4.946749556,0.779090432,-0.374749471,0.849666109,0.237458319,-0.910864151,-70.77382159,-74.4172782
IL25-S540,Target,-0.125456939,6.381733115,-3.040834702,1.686769722,2.672382125,0.308303677,-0.085583171,0.763762724,-1.890101096,0.763128355,0.314028556,-0.788066549,-0.237018997,1.459954702,33.51319885,39.35301766
IL25-S541,Target,0.138559073,10.28521338,-5.243708929,1.398476382,3.313889595,0.711462905,-0.105292183,-0.021809163,-2.729522503,1.85968023,-0.442440136,-0.989145661,-0.715792898,2.832581912,73.0256264,84.35595405
IL25-S542,Target,-0.096306081,9.409016472,-1.017893607,1.113690973,1.0026609,0.758099015,-0.305931278,0.846748429,-2.305325143,0.816326222,0.393939878,-0.88753135,-0.246795736,1.051197841,64.48527847,68.69006983
IL25-S543,Target,0.127944347,10.29747878,-2.102116831,1.920322283,2.592829271,0.807248181,-0.172926544,1.044493451,-4.359465572,1.73312372,0.584359012,-1.379590199,-0.397615594,1.438930683,64.77777746,70.53350019
IL25-S544,Target,0.045110092,6.721363207,-5.188650335,1.669034848,2.483616662,0.29284085,-0.726673244,0.033121283,-2.292325237,0.55212965,-0.389544706,-0.884417288,-0.636980997,3.526715945,44.0121059,58.11896968
IL25-S546,Target,-0.114104852,9.165548368,0.29993223,1.649012288,2.541931986,0.598668064,-0.045275545,0.545256965,-3.397250194,0.444322548,0.103617812,-1.149096419,-0.522739304,0.583924738,58.97789832,61.31359727
IL25-S547,Target,0.128113336,4.834804514,-3.417928495,1.914097755,2.95005621,0.40108383,-0.388840606,0.993444562,-1.942747275,1.185304192,0.535201338,-0.800677673,-0.132738168,1.860630026,18.86721567,26.30973577
IL25-S548,Target,-0.18112827,6.763688725,-5.172632572,1.117425771,2.734305072,0.511779201,-0.8257812,0.457413174,1.621124224,0.988962384,0.019028382,0.053029544,0.036028963,2.83909769,40.32841538,51.68480614
IL25-S549,Target,-0.043032089,5.806896139,-1.931058771,2.213970624,2.649397311,0.449542802,-0.204125129,1.0061854,-2.806779004,0.89072903,0.547470165,-1.007652061,-0.230090948,1.217857843,25.79833722,30.66976859
IL25-S55,Target,-0.026598927,-15.53534892,0.883908995,1.134291879,0.729396902,-0.295929044,-0.57532191,0.592605227,7.480699485,1.233917633,0.149211955,1.456660873,0.802936414,-0.528073218,-139.3062346,-141.4185275
IL25-S550,Target,0.040969795,9.318777436,-3.287567297,1.447338776,1.673750316,0.396774545,-0.420477737,0.847449696,-1.931632486,0.753551689,0.394615165,-0.798015182,-0.201700008,1.939310262,61.71119022,69.46843127
IL25-S551,Target,-0.145002663,8.306062019,-0.55739655,1.760593991,2.689866906,0.600179736,-0.155387326,0.636178667,-3.479671513,1.267745452,0.191171124,-1.168840025,-0.488834451,0.98602122,50.1671591,54.11124398
IL25-S552,Target,-0.015753738,-0.896024595,-2.346183347,1.18286042,2.873515944,0.158287812,-0.0162591,1.02244539,0.387100372,0.783692806,0.563127768,-0.242574568,0.1602766,0.648210348,-27.51828044,-24.92543905
IL25-S553,Target,7.22E-04,7.758335935,-0.702950313,0.921291669,2.672737977,0.337333273,-0.004392905,0.465688988,0.79256257,1.509005593,0.026997601,-0.145448169,-0.059225284,0.322817803,50.34425829,51.6355295
IL25-S554,Target,0.286547083,7.403296569,-4.057133543,1.957489674,3.288052628,0.657022427,-0.104431871,1.120265161,-0.72521701,1.964322646,0.657323596,-0.509024516,0.07414954,1.464811086,39.00879264,44.86803698
IL25-S555,Target,-0.059565836,3.304644253,-2.028828629,0.779629256,2.450419092,0.76917248,-0.78947951,0.963358509,1.180312437,1.722548267,0.506229888,-0.052564668,0.22683261,1.462943777,9.915706961,15.76748207
IL25-S556,Target,0.260887665,2.102242768,-1.094363965,0.256049871,0.935283478,0.149973306,0.303400127,0.204283978,4.084340709,-0.309616543,-0.2247231,0.643080474,0.209178687,-0.264169408,13.95138941,12.89471178
IL25-S557,Target,0.083786758,3.933870671,1.359291132,0.128640953,-0.350963589,0.270456311,-0.046623405,1.046611178,3.820442433,1.365938097,0.586398283,0.579864989,0.583131636,-1.117180554,25.10061049,20.63188827
IL25-S558,Target,0.170081412,-0.43041275,-4.5879493,0.788983099,0.31933461,0.089890843,-0.190604693,-0.378288564,2.970164266,-0.516988294,-0.785712994,0.376185197,-0.204763898,2.098554443,-2.547419721,5.84679805
IL25-S559,Target,0.053662961,-0.950223955,0.847798443,0.135438584,-0.685081923,-0.194152406,-0.571599607,0.6765179,5.782727439,1.244120882,0.230015904,1.049920341,0.639968122,-0.323922371,-11.61959424,-12.91528372
IL25-S56,Target,-0.070307394,-12.03856383,2.290936639,0.856896043,0.953014043,0.023284517,-0.348050021,-0.039770134,6.401493564,0.72234822,-0.459735704,1.198142607,0.369203451,-0.79297196,-105.1457394,-108.3176272
IL25-S560,Target,0.047896936,1.570703363,-0.95361377,0.428231541,0.528435187,-0.001049444,-0.516545603,0.272478347,6.060831894,0.312447617,-0.159055138,1.116538843,0.478741853,0.428471709,8.352414957,10.06630179
IL25-S561,Target,0.084227237,4.241606107,0.599078731,0.94225808,0.2674186,0.469827348,-0.600094045,0.852874836,3.865814195,0.244351272,0.399839319,0.590733563,0.495286441,-0.025571246,25.20576867,25.10348369
IL25-S562,Target,0.105462819,3.021800622,-0.28646757,0.37236591,1.418291849,0.145729697,-0.111653734,0.243554059,2.895609757,0.673322437,-0.186907864,0.358326045,0.085709091,0.14211736,18.61992715,19.18839659
IL25-S563,Target,0.074693098,5.862466163,-2.438783413,0.816701208,-0.219651988,0.476929496,0.023179527,0.465257099,8.46E-04,1.603935044,0.026581712,-0.335099881,-0.154259085,1.008278001,43.555347,47.58845901
IL25-S564,Target,-0.135909819,0.249672043,-2.542220415,0.105575481,-0.039844424,0.229611439,-0.504725495,0.13948794,2.272827875,0.991257497,-0.28711863,0.209141826,-0.038988402,1.592286416,-0.092714797,6.276430867
IL25-S565,Target,0.222571484,4.710936046,1.268476624,0.991057219,0.827948642,0.4447464,-0.478452236,0.20909769,1.460415244,0.390955914,-0.220087722,0.014532529,-0.102777597,0.302817032,33.5527085,34.76397663
IL25-S566,Target,0.046091241,3.067948247,-1.346992115,1.032052054,0.283424648,0.32202047,-0.837552301,0.123910456,3.061864237,-0.395996156,-0.302119013,0.398151456,0.048016222,1.502588506,20.98452832,26.99488234
IL25-S567,Target,-0.1205939,-2.18576364,-4.842240534,0.578009742,0.223966571,0.287272857,-0.623975555,-1.011332962,0.545961746,-0.396383477,-1.395304904,-0.204520137,-0.79991252,3.468344198,-12.74976463,1.123612157
IL25-S568,Target,-0.115940793,4.644825686,-2.006608582,1.238805941,1.363964442,0.315874601,-1.074321677,0.183758309,3.032129429,0.56669267,-0.244488352,0.391028635,0.073270142,2.010759348,28.9477228,36.9907602
IL25-S569,Target,-0.106391408,-6.045055263,-5.609348211,1.125597581,1.2485537,0.021503702,-1.4305445,1.893532508,6.204843467,0.651282434,1.401943597,1.15103608,1.276489839,2.283794551,-73.26360149,-64.12842328
IL25-S57,Target,-0.034127645,-8.10787949,3.741534824,-0.173479032,-1.322060138,-0.061738264,0.063581834,-0.759405191,4.992612928,-0.590059294,-1.152710338,0.860652445,-0.146028946,-1.214730469,-56.95861411,-61.81753599
IL25-S570,Target,0.232103713,-6.161873455,-4.615341894,1.52516112,0.580993008,-0.065272443,-1.230225493,0.363865126,4.256852513,-0.28542092,-0.071053978,0.684404795,0.306675409,2.844297819,-58.73267075,-47.35547948
IL25-S572,Target,-0.152973493,-0.654687269,-6.523539029,0.861366113,1.080264041,0.390938795,-1.006610546,-0.174111528,1.511446284,0.162750188,-0.589100134,0.026756754,-0.28117169,3.928802417,-10.41726003,5.29794964
