"","p1","p2","cross","reciprocal","cross_numb","reciprocal_numb","Heading","Height","TestWeight","Yield","DON","FDK","merit","ranking","relativeProfit"
"1169","32","17","IL19-21760 x IL18-4910","IL18-4910 x IL19-21760","32 x 17","17 x 32",131.91,36,58.38,83.41,0.74,11.37,407.73,425,-2.04
"1170","10","17","IL19-22757 x IL18-4910","IL18-4910 x IL19-22757","10 x 17","17 x 10",132.05,37.09,59.26,83.55,0.88,10.23,406.09,487,-3.68
"1171","31","17","IL19-23833 x IL18-4910","IL18-4910 x IL19-23833","31 x 17","17 x 31",132.85,37.44,58.98,84.96,0.86,11.11,408.47,403,-1.3
"1172","28","17","IL19-27565 x IL18-4910","IL18-4910 x IL19-27565","28 x 17","17 x 28",132.98,37.83,59.61,83.1,0.63,6.53,406.22,480,-3.55
"1173","35","17","IL19-3505 x IL18-4910","IL18-4910 x IL19-3505","35 x 17","17 x 35",131.55,37.36,58.67,84.37,0.73,7.41,416.69,144,6.92
"1174","20","17","IL19-3528 x IL18-4910","IL18-4910 x IL19-3528","20 x 17","17 x 20",131.54,37.6,58.66,83.97,0.76,8.3,413.78,212,4.01
"1175","19","17","IL19-6946 x IL18-4910","IL18-4910 x IL19-6946","19 x 17","17 x 19",132.15,36.82,58.66,85.21,1.12,12.58,407.46,435.5,-2.31
"1176","6","17","US16-IL-061-032 x IL18-4910","IL18-4910 x US16-IL-061-032","6 x 17","17 x 6",132.02,37.61,58.66,83.14,1.17,12.83,397.8,687.5,-11.97
"1177","13","17","US16-IL-062-031 x IL18-4910","IL18-4910 x US16-IL-062-031","13 x 17","17 x 13",131,36.85,59.55,84.3,1.03,10.04,412.2,267,2.43
"1178","29","17","US16-IL-062-109 x IL18-4910","IL18-4910 x US16-IL-062-109","29 x 17","17 x 29",132.7,36.74,58.74,85.22,1.05,10.81,407.32,443,-2.45
"1179","18","17","US16-IL-063-063 x IL18-4910","IL18-4910 x US16-IL-063-063","18 x 17","17 x 18",131.6,35.97,58.52,82.35,1.03,13.76,398.05,683.5,-11.72
"1180","27","17","US16-IL-064-095 x IL18-4910","IL18-4910 x US16-IL-064-095","27 x 17","17 x 27",132.36,37,59.03,83.87,0.9,10.51,405.51,505,-4.26
"1181","34","17","US17-IL-108-039 x IL18-4910","IL18-4910 x US17-IL-108-039","34 x 17","17 x 34",134.49,36.72,58.72,86.33,0.97,12.4,404.15,543,-5.62
"1182","39","17","US17-IL-108-070 x IL18-4910","IL18-4910 x US17-IL-108-070","39 x 17","17 x 39",133.66,37.33,59.26,84.08,0.92,13.22,398.28,679,-11.49
"1183","33","3","IL19-10123 x IL18MSFRS-18","IL18MSFRS-18 x IL19-10123","33 x 3","3 x 33",132.58,37.14,58.19,89.01,1.12,9.74,424.65,42.5,14.88
"1184","23","3","IL19-12830 x IL18MSFRS-18","IL18MSFRS-18 x IL19-12830","23 x 3","3 x 23",134.35,37.42,58.4,88.83,1.06,9.67,416.57,146.5,6.8
"1185","37","3","IL19-13713 x IL18MSFRS-18","IL18MSFRS-18 x IL19-13713","37 x 3","3 x 37",133.05,36.65,58.24,88.1,0.78,4.57,427.94,25,18.17
"1186","14","3","IL19-13942 x IL18MSFRS-18","IL18MSFRS-18 x IL19-13942","14 x 3","3 x 14",132.07,36.72,58.15,86.99,0.84,6.66,424.99,40,15.22
"1187","7","3","IL19-13978 x IL18MSFRS-18","IL18MSFRS-18 x IL19-13978","7 x 3","3 x 7",132.52,36.95,58.33,87.46,0.96,8.32,421.69,70,11.92
